Algorithm,Test Accuracy (%),Precision (%),Recall (%),F1-Score (%),AUC-ROC,Train Time (s)
XGBoost,96.06,94.1,98.74,96.36,0.9926,0.084
Neural Network,95.96,93.57,99.19,96.29,0.991,7.597
Random Forest,95.92,93.75,98.87,96.24,0.991,0.262
Gradient Boosting,95.75,93.92,98.33,96.07,0.9919,3.993
SVM (RBF),95.51,93.25,98.64,95.87,0.9896,8.618
Logistic Regression,95.29,93.68,97.7,95.64,0.9877,0.033
Decision Tree,94.53,93.59,96.25,94.9,0.9668,0.07
AdaBoost,94.12,93.73,95.26,94.49,0.9865,1.125
K-Nearest Neighbors,93.77,92.15,96.43,94.24,0.9748,0.029
Naive Bayes,88.85,84.24,97.06,90.2,0.9747,0.006
