Algorithm,Test Accuracy (%),Precision (%),Recall (%),F1-Score (%),AUC-ROC,Train Time (s)
Logistic Regression,60.09,61.54,54.7,57.92,0.6448,0.003
AdaBoost,58.8,60.82,50.43,55.14,0.6302,0.127
Naive Bayes,58.37,58.77,57.26,58.01,0.6123,0.001
SVM (RBF),57.51,58.18,54.7,56.39,0.6081,0.104
Random Forest,55.36,56.19,50.43,53.15,0.5759,0.12
Decision Tree,54.94,57.32,40.17,47.24,0.5693,0.003
K-Nearest Neighbors,54.94,55.17,54.7,54.94,0.5718,0.001
XGBoost,54.08,55.0,47.01,50.69,0.5696,0.147
Neural Network,54.08,54.46,52.14,53.28,0.5793,1.038
Gradient Boosting,53.22,54.0,46.15,49.77,0.5794,0.212
